"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","B365H","B365D","B365A","GBH","GBD","GBA","IWH","IWD","IWA","LBH","LBD","LBA","SOH","SOD","SOA","SBH","SBD","SBA","WHH","WHD","WHA","GB.2.5","GB.2.5.1","B365.2.5","B365.2.5.1","GBAHH","GBAHA","GBAH","LBAHH","LBAHA","LBAH","B365AHH","B365AHA","B365AH","X","X.1","X.2","X.3","X.4","X.5","X.6"
"159","SP1","14/12/03","Valladolid","Murcia",0,0,"D",0,0,"D",1.615,3.4,5,1.7,3.35,4.75,1.65,3.2,4.6,1.615,3.25,5,1.62,3.4,5,1.61,3.4,5,1.61,3.3,5,2,1.71,1.95,1.85,2,1.8,-0.75,1.95,1.9,-0.75,2.05,1.85,-0.75,NA,NA,NA,NA,NA,NA,NA
"160","SP1","14/12/03","Zaragoza","Albacete",0,1,"A",0,0,"D",1.833,3.25,3.75,1.85,3.25,4,1.85,3,3.8,1.727,3.2,4.333,1.75,3.2,4.33,1.75,3.2,4.33,1.8,3.1,4,2,1.71,2.05,1.75,1.85,1.95,-0.5,1.95,1.9,-0.5,2,1.9,-0.5,NA,NA,NA,NA,NA,NA,NA
"161","SP1","20/12/03","Ath Madrid","Santander",2,2,"D",0,0,"D",1.667,3.4,4.5,1.66,3.4,5,1.7,3.2,4.2,1.667,3.25,4.5,1.62,3.4,5,1.61,3.4,5,1.57,3.5,5,1.85,1.85,1.9,1.9,1.95,1.9,-0.75,1.95,1.9,-0.75,2,1.9,-0.75,NA,NA,NA,NA,NA,NA,NA
"162","SP1","20/12/03","Sociedad","Valladolid",1,3,"A",1,1,"D",1.909,3.25,3.5,1.95,3.2,3.7,1.8,3.1,3.8,1.833,3.2,3.75,1.91,3.2,3.6,1.9,3.2,3.6,1.9,3,3.75,1.9,1.79,2,1.8,2,1.85,-0.5,1.95,1.9,-0.5,2.025,1.875,-0.5,NA,NA,NA,NA,NA,NA,NA
"163","SP1","20/12/03","Valencia","Sevilla",1,0,"H",0,0,"D",1.444,3.75,6.5,1.5,3.6,6.5,1.45,3.6,5.8,1.5,3.4,6,1.44,3.75,6.5,1.44,3.75,6.5,1.4,3.75,7,1.75,1.95,1.95,1.85,2,1.85,-1,1.9,1.95,-1,2.05,1.85,-1,NA,NA,NA,NA,NA,NA,NA
"164","SP1","21/12/03","Albacete","Ath Bilbao",1,1,"D",1,1,"D",2.3,3.2,2.7,2.35,3.2,2.8,2.3,3,2.7,2.25,3.2,2.75,2.25,3.2,2.8,2.25,3.2,2.8,2.25,3.1,2.8,1.85,1.85,1.95,1.85,2.05,1.8,-0.25,2.05,1.8,-0.25,2.1,1.8,-0.25,NA,NA,NA,NA,NA,NA,NA
"165","SP1","21/12/03","Barcelona","Celta",1,1,"D",0,1,"A",1.667,3.4,4.5,1.66,3.4,5,1.65,3.3,4.4,1.571,3.5,5,1.62,3.4,5,1.61,3.4,5,1.66,3.3,4.5,1.79,1.9,1.85,1.95,1.95,1.9,-0.75,1.9,1.95,-0.75,1.9,2,-0.75,NA,NA,NA,NA,NA,NA,NA
"166","SP1","21/12/03","Betis","Villarreal",1,3,"A",0,0,"D",2.2,3.25,2.8,2.2,3.2,3,2,2.9,3.4,2.2,3.2,2.8,2.2,3.1,3,2.2,3.1,3,2.25,3,2.87,1.9,1.79,2.05,1.75,1.95,1.9,-0.25,1.95,1.9,-0.25,1.975,1.925,-0.25,NA,NA,NA,NA,NA,NA,NA
"167","SP1","21/12/03","La Coruna","Espanol",2,1,"H",1,1,"D",1.286,4.5,9,1.28,4.85,9,1.25,4.3,9.5,1.286,4.333,9,1.25,5,9,1.25,5,9,1.2,5,11,1.71,2,1.8,2,1.95,1.9,-1.75,1.95,1.9,-1.75,1.875,2.025,-1.5,NA,NA,NA,NA,NA,NA,NA
"168","SP1","21/12/03","Mallorca","Real Madrid",1,3,"A",1,1,"D",4,3.25,1.8,4.1,3.3,1.8,3.8,3,1.85,4,3.2,1.8,4,3.25,1.8,4,3.25,1.8,3.4,3.25,1.9,1.65,2.05,1.85,1.95,1.85,2,0.75,1.85,2,0.75,2.05,1.85,0.5,NA,NA,NA,NA,NA,NA,NA
"169","SP1","21/12/03","Murcia","Malaga",1,2,"A",1,1,"D",2.375,3,2.75,2.38,3,2.9,2.3,2.7,3,2.25,3.2,2.75,2.5,3,2.62,2.5,3,2.62,2.37,3,2.7,1.9,1.79,2.05,1.75,2.1,1.75,-0.25,2,1.85,-0.25,2.1,1.8,-0.25,NA,NA,NA,NA,NA,NA,NA
"170","SP1","21/12/03","Osasuna","Zaragoza",0,1,"A",0,1,"A",1.667,3.4,4.5,1.7,3.35,4.75,1.7,3.1,4.4,1.667,3.25,4.5,1.7,3.4,4.33,1.7,3.4,4.33,1.61,3.3,5,1.9,1.79,1.9,1.9,2,1.85,-0.75,2.05,1.8,-0.75,2,1.9,-0.75,NA,NA,NA,NA,NA,NA,NA
"171","SP1","03/01/04","Celta","La Coruna",0,5,"A",0,2,"A",2.6,3.2,2.4,2.65,3.1,2.5,2.5,3,2.5,2.75,3,2.375,2.62,3.2,2.38,2.62,3.2,2.37,2.62,3.1,2.37,1.9,1.79,2,1.8,1.95,1.9,0,2,1.85,0,1.975,1.925,0,NA,NA,NA,NA,NA,NA,NA
"172","SP1","03/01/04","Real Madrid","Murcia",1,0,"H",1,0,"H",1.167,5.5,13,1.17,6,13,1.15,6,12,1.167,5.5,12,1.14,6,13,1.14,6,13,1.14,6,12,1.45,2.5,1.5,2.5,1.8,2.05,-1.75,1.7,2.15,-1.75,2.05,1.85,-2,NA,NA,NA,NA,NA,NA,NA
"173","SP1","03/01/04","Zaragoza","Ath Madrid",0,0,"D",0,0,"D",2.375,3.2,2.625,2.4,3.1,2.75,2.4,2.9,2.7,2.25,3.2,2.75,2.3,3.1,2.8,2.3,3.1,2.8,2.4,3.1,2.6,1.85,1.85,1.95,1.85,1.75,2.1,0,2.05,1.8,-0.25,2.025,1.825,-0.25,NA,NA,NA,NA,NA,NA,NA
"174","SP1","04/01/04","Ath Bilbao","Osasuna",1,1,"D",1,1,"D",2,3.25,3.25,2,3.2,3.5,2.2,2.9,3,1.909,3.2,3.5,2,3.1,3.4,2,3.1,3.4,2,3.1,3.3,2,1.71,2.15,1.66,1.85,2,-0.25,1.85,2,-0.25,2.05,1.85,-0.5,NA,NA,NA,NA,NA,NA,NA
"175","SP1","04/01/04","Espanol","Mallorca",2,0,"H",1,0,"H",2.6,3.2,2.4,2.65,3.1,2.5,2.5,3,2.5,2.6,3.2,2.375,2.62,3.2,2.38,2.62,3.2,2.37,2.5,3.1,2.5,1.79,1.9,2,1.8,1.9,1.95,0,1.9,1.95,0,1.925,1.975,0,NA,NA,NA,NA,NA,NA,NA
"176","SP1","04/01/04","Malaga","Sociedad",1,2,"A",1,2,"A",1.909,3.2,3.6,2,3.2,3.5,2,3.1,3.2,1.833,3.2,3.75,1.91,3.2,3.6,1.9,3.2,3.6,1.9,3.2,3.5,1.85,1.85,1.95,1.85,1.8,2.05,-0.25,1.8,2.05,-0.25,2.05,1.85,-0.5,NA,NA,NA,NA,NA,NA,NA
"177","SP1","04/01/04","Santander","Barcelona",3,0,"H",0,0,"D",2.625,3.2,2.375,2.9,3.1,2.3,2.9,3,2.2,2.75,3.2,2.25,2.8,3.1,2.3,2.8,3.1,2.3,2.62,3.2,2.3,1.75,1.95,1.85,1.95,1.8,2.05,0.25,1.85,2,0.25,1.8,2.1,0.25,NA,NA,NA,NA,NA,NA,NA
"178","SP1","04/01/04","Sevilla","Albacete",2,0,"H",1,0,"H",1.727,3.25,4.333,1.75,3.4,4.25,1.8,3,4,1.727,3.2,4.333,1.8,3.2,4,1.8,3.2,4,1.72,3.1,4.5,1.9,1.79,1.95,1.85,2,1.85,-0.75,1.95,1.9,-0.75,1.85,2.05,-0.5,NA,NA,NA,NA,NA,NA,NA
"179","SP1","04/01/04","Valencia","Villarreal",4,2,"H",0,1,"A",1.533,3.4,6,1.6,3.45,5.5,1.6,3.3,4.8,1.571,3.25,5.5,1.53,3.4,6,1.53,3.4,6,1.53,3.25,6,1.9,1.79,1.95,1.85,2.05,1.8,-1,2.05,1.8,-1,1.8,2.1,-0.75,NA,NA,NA,NA,NA,NA,NA
"180","SP1","04/01/04","Valladolid","Betis",0,0,"D",0,0,"D",2,3.1,3.4,2.1,3.1,3.35,2,3,3.3,2.1,3.2,3,2,3.1,3.4,2.1,3.1,3.2,2,3.1,3.3,1.9,1.79,1.95,1.85,2,1.85,-0.25,2,1.85,-0.25,2.15,1.75,-0.25,NA,NA,NA,NA,NA,NA,NA
"181","SP1","10/01/04","Albacete","Valencia",0,1,"A",0,1,"A",3.75,3.25,1.83,4,3.25,1.85,3.6,3.1,1.85,3.5,3.2,1.91,3.6,3.2,1.91,3.6,3.2,1.91,3.75,3.2,1.83,1.85,1.85,2,1.8,2,1.85,0.5,1.95,1.9,0.5,1.975,1.925,0.5,NA,NA,NA,NA,NA,NA,NA
"182","SP1","10/01/04","Mallorca","Celta",2,4,"A",1,1,"D",2,3.25,3.25,2.1,3.2,3.2,2.1,3,3.1,2,3.2,3.2,2,3.25,3.3,2,3.1,3.3,1.9,3.2,3.5,1.95,1.75,2,1.8,1.95,1.9,-0.25,1.95,1.9,-0.25,1.9,2,-0.25,NA,NA,NA,NA,NA,NA,NA
"183","SP1","10/01/04","Sociedad","Real Madrid",1,0,"H",0,0,"D",4.33,3.4,1.8,4,3.25,1.85,3.5,3.1,1.9,4,3.2,1.8,4.33,3.25,1.73,4,3.25,1.8,4.33,3.2,1.72,1.71,2,1.85,1.95,2,1.85,0.5,2,1.85,0.5,2.075,1.825,0.5,NA,NA,NA,NA,NA,NA,NA
"184","SP1","11/01/04","Ath Madrid","Ath Bilbao",3,0,"H",0,0,"D",1.9,3.25,4,1.9,3.15,4,1.8,3.1,3.8,1.8,3.2,4,1.83,3.2,3.75,1.85,3.2,3.75,1.8,3.1,4,1.85,1.85,1.9,1.9,1.95,1.9,-0.5,2.05,1.8,-0.5,2.05,1.85,-0.5,NA,NA,NA,NA,NA,NA,NA
"185","SP1","11/01/04","Barcelona","Zaragoza",3,0,"H",2,0,"H",1.61,3.4,5,1.61,3.4,5.4,1.45,3.8,5.4,1.62,3.25,5,1.57,3.6,5,1.57,3.6,5,1.57,3.5,5,1.75,1.95,1.9,1.9,2.05,1.8,-1,2.1,1.75,-1,2.125,1.775,-1,NA,NA,NA,NA,NA,NA,NA
"186","SP1","11/01/04","Betis","Malaga",3,0,"H",1,0,"H",2.1,3.25,3,2.15,3.1,3.25,1.85,3,3.8,2.1,3.2,3,2.2,3.1,3,2.2,3.1,3,2,3.1,3.3,1.95,1.75,2.05,1.75,1.75,2.1,-0.25,1.75,2.1,-0.25,1.8,2.1,-0.25,NA,NA,NA,NA,NA,NA,NA
"187","SP1","11/01/04","La Coruna","Santander",1,1,"D",1,0,"H",1.4,3.75,7.5,1.45,3.75,7,1.45,3.8,5.4,1.44,3.6,6.5,1.44,3.75,6.5,1.44,3.75,6.5,1.44,3.6,6.5,1.71,2,1.8,2,1.95,1.9,-1,1.95,1.9,-1,1.95,1.95,-1,NA,NA,NA,NA,NA,NA,NA
"188","SP1","11/01/04","Murcia","Espanol",0,1,"A",0,1,"A",2.1,3.25,3,2.2,3.1,3.1,2.2,3,2.9,1.91,3.2,3.5,2.2,3.1,3,2.2,3.1,3,2.1,3,3.2,1.9,1.79,2,1.8,1.95,1.9,-0.25,1.9,1.95,-0.25,1.925,1.975,-0.25,NA,NA,NA,NA,NA,NA,NA
"189","SP1","11/01/04","Osasuna","Sevilla",1,1,"D",0,0,"D",1.9,3.2,3.6,1.95,3.1,3.75,1.85,3.1,3.6,1.91,3.2,3.5,1.83,3.2,3.75,1.85,3.2,3.75,1.9,3.1,3.6,2.1,1.65,2.1,1.7,2.05,1.8,-0.5,2.05,1.8,-0.5,2.1,1.8,-0.5,NA,NA,NA,NA,NA,NA,NA
"190","SP1","11/01/04","Villarreal","Valladolid",3,1,"H",1,0,"H",1.8,3.25,4,1.85,3.1,4.25,1.85,3,3.8,1.8,3.2,4,1.83,3.1,4,1.85,3.1,4,1.83,3,4,2.1,1.65,2.05,1.75,1.9,1.95,-0.5,1.95,1.9,-0.5,1.95,1.95,-0.5,NA,NA,NA,NA,NA,NA,NA
"191","SP1","17/01/04","Barcelona","Ath Bilbao",1,1,"D",0,0,"D",1.66,3.4,5.5,1.61,3.5,5.2,1.6,3.4,4.6,1.62,3.25,5,1.62,3.4,5,1.62,3.4,5,1.61,3.3,5,1.71,2,1.9,1.9,1.83,2,-0.75,1.8,2.05,-0.75,1.825,2.075,-0.75,NA,NA,NA,NA,NA,NA,NA
"192","SP1","17/01/04","Murcia","Celta",2,2,"D",0,2,"A",2.5,3.2,2.5,2.55,3.15,2.55,2.8,2.8,2.4,2.6,3.2,2.38,2.6,3,2.5,2.6,3,2.5,2.75,3.1,2.3,1.9,1.79,1.95,1.85,2.05,1.8,0,2,1.85,0,2,1.9,0,NA,NA,NA,NA,NA,NA,NA
"193","SP1","17/01/04","Valladolid","Valencia",0,0,"D",0,0,"D",1.66,3.4,4.5,1.7,3.4,4.6,1.65,3.2,4.6,1.62,3.25,5,1.67,3.4,4.5,1.67,3.4,4.5,1.61,3.3,5,1.95,1.75,2.05,1.75,1.7,2.05,0.5,1.8,2.05,0.5,1.85,2.05,0.5,NA,NA,NA,NA,NA,NA,NA
"194","SP1","18/01/04","Ath Madrid","Sevilla",2,1,"H",1,0,"H",1.8,3.2,4,1.8,3.25,4.2,1.75,3.1,4.2,1.73,3.2,4.33,1.75,3.25,4.2,1.75,3.25,4.33,1.66,3.3,4.5,1.9,1.79,1.95,1.85,1.87,1.96,-0.5,1.85,2,-0.5,2,1.9,-0.5,NA,NA,NA,NA,NA,NA,NA
"195","SP1","18/01/04","Betis","Real Madrid",1,1,"D",1,0,"H",4.5,3.25,1.83,4,3.25,1.85,3.2,3.1,2,4,3.2,1.8,4.5,3.25,1.73,4.33,3.25,1.75,4.33,3.2,1.72,1.75,1.95,1.85,1.95,2,1.85,0.5,1.95,1.9,0.5,2,1.9,0.5,NA,NA,NA,NA,NA,NA,NA
"196","SP1","18/01/04","La Coruna","Zaragoza",4,1,"H",1,1,"D",1.36,3.6,9.5,1.41,3.9,7.5,1.33,4,7.5,1.4,3.75,7,1.36,3.75,8.5,1.36,3.75,8.5,1.33,4,8,1.79,1.9,1.85,1.95,1.7,2.05,-1,1.8,2.05,-1,1.8,2.1,-1,NA,NA,NA,NA,NA,NA,NA
"197","SP1","18/01/04","Mallorca","Santander",1,1,"D",0,0,"D",2.2,3.2,2.87,2.2,3.2,3,2.2,3,2.9,2.25,3.2,2.75,2.1,3.2,3.1,2.1,3.2,3.1,2.25,3.1,2.8,1.79,1.9,1.9,1.9,2,1.85,-0.25,1.95,1.9,-0.25,2.05,1.85,-0.25,NA,NA,NA,NA,NA,NA,NA
"198","SP1","18/01/04","Osasuna","Albacete",1,1,"D",1,1,"D",1.66,3.4,4.5,1.65,3.45,4.9,1.75,3.1,4.2,1.57,3.25,5.5,1.62,3.4,5,1.62,3.4,5,1.61,3.1,5.5,2.05,1.71,2,1.8,1.9,1.95,-0.75,1.85,2,-0.75,1.925,1.975,-0.75,NA,NA,NA,NA,NA,NA,NA
"199","SP1","18/01/04","Sociedad","Espanol",3,1,"H",1,0,"H",3.4,3.1,2,3.3,3.2,2.05,3,2.9,2.2,3.2,3.2,2,3.3,3.2,2,3.3,3.2,2,3.6,3.1,1.9,1.85,1.85,2,1.8,1.9,1.95,-0.75,1.8,2.05,-0.75,1.85,2.05,-0.75,NA,NA,NA,NA,NA,NA,NA
"200","SP1","18/01/04","Villarreal","Malaga",2,0,"H",0,0,"D",1.8,3.2,4,1.85,3.25,4,1.8,3.1,3.8,1.73,3.2,4.33,1.85,3.25,3.75,1.85,3.25,3.75,1.72,3.2,4.33,1.9,1.79,2,1.8,1.85,2,-0.5,1.9,1.95,-0.5,1.9,2,-0.5,NA,NA,NA,NA,NA,NA,NA
"201","SP1","24/01/04","Albacete","Ath Madrid",1,1,"D",0,1,"A",2.6,3.2,2.4,2.65,3.1,2.55,2.5,3,2.5,2.75,3.2,2.25,2.6,3.2,2.4,2.6,3.2,2.4,2.7,3,2.37,1.95,1.75,2,1.8,2.05,1.8,0,2.05,1.8,0,2,1.9,0,NA,NA,NA,NA,NA,NA,NA
"202","SP1","24/01/04","Real Madrid","Villarreal",2,1,"H",1,0,"H",1.36,4,7.5,1.38,4.2,7.6,1.4,3.9,6,1.4,3.75,7,1.3,4.33,8.5,1.3,4.33,8.5,1.3,4.2,8.5,1.65,2.05,1.7,2.1,2.05,1.8,-1.25,2.05,1.8,-1.25,2.1,1.8,-1.25,NA,NA,NA,NA,NA,NA,NA
"203","SP1","25/01/04","Ath Bilbao","La Coruna",1,0,"H",0,0,"D",2.7,3.25,2.5,2.65,3.1,2.55,2.5,3,2.5,2.62,2.88,2.5,2.62,3.2,2.38,2.62,3.2,2.38,2.5,3.1,2.5,1.85,1.85,2,1.8,2,1.85,0,2.05,1.8,0,1.95,1.95,0,NA,NA,NA,NA,NA,NA,NA
"204","SP1","25/01/04","Celta","Sociedad",2,5,"A",1,2,"A",2.2,3.25,2.8,2.3,3.1,2.95,2.1,3,3.1,2.38,3.2,2.6,2.25,3.1,2.88,2.25,3.1,2.88,2.2,3.1,2.87,1.85,1.85,1.95,1.85,2.05,1.8,-0.25,2,1.85,-0.25,2.075,1.825,-0.25,NA,NA,NA,NA,NA,NA,NA
"205","SP1","25/01/04","Espanol","Betis",1,2,"A",0,2,"A",2.6,3.2,2.4,2.45,3.1,2.7,2.5,3,2.5,2.5,3.25,2.4,2.5,3.2,2.5,2.4,3.2,2.6,2.62,3.2,2.3,1.9,1.79,2.05,1.75,1.77,2.1,0,2.1,1.75,-0.25,1.8,2.1,0,NA,NA,NA,NA,NA,NA,NA
"206","SP1","25/01/04","Malaga","Valladolid",2,3,"A",1,1,"D",1.9,3.2,3.6,2.05,3.1,3.5,2,3,3.3,2,3.2,3.2,1.91,3.2,3.6,1.91,3.2,3.6,2.1,3,3.2,1.95,1.75,1.95,1.85,1.85,2,-0.25,1.85,2,-0.25,1.825,2.075,-0.25,NA,NA,NA,NA,NA,NA,NA
"207","SP1","25/01/04","Santander","Murcia",3,2,"H",1,1,"D",1.61,3.4,5,1.65,3.45,4.9,1.65,3.3,4.4,1.62,3.25,5,1.62,3.4,5,1.62,3.4,5,1.61,3.1,5.5,1.85,1.85,2,1.8,2,1.85,-0.75,2,1.85,-0.75,1.975,1.925,-0.75,NA,NA,NA,NA,NA,NA,NA
"208","SP1","25/01/04","Sevilla","Barcelona",0,1,"A",0,1,"A",2.4,3.2,2.6,2.5,3.2,2.6,2.5,3,2.5,2.4,3.25,2.5,2.5,3.2,2.5,2.5,3.2,2.5,2.3,3.2,2.62,1.85,1.85,1.9,1.9,1.95,1.9,0,1.95,1.9,0,1.95,1.95,0,NA,NA,NA,NA,NA,NA,NA
"209","SP1","25/01/04","Valencia","Osasuna",0,1,"A",0,1,"A",1.44,3.6,7,1.48,3.7,6.5,1.4,3.9,6,1.4,3.6,7.5,1.44,3.75,6.5,1.44,3.75,6.5,1.44,3.5,7,1.85,1.85,2.05,1.75,1.95,1.9,-1,1.95,1.9,-1,2,1.9,-1,NA,NA,NA,NA,NA,NA,NA
"210","SP1","25/01/04","Zaragoza","Mallorca",1,3,"A",0,2,"A",2.2,3.25,2.8,2.25,3.1,3,2.1,3,3.1,2.1,3.2,3,2.25,3.1,2.88,2.25,3.1,2.88,2.1,3.1,3.1,1.95,1.75,2.05,1.75,2,1.85,-0.25,2,1.85,-0.25,2.025,1.875,-0.25,NA,NA,NA,NA,NA,NA,NA
"211","SP1","31/01/04","Ath Madrid","Osasuna",1,1,"D",0,1,"A",1.833,3.25,3.75,1.9,3.15,3.9,1.8,3,4,1.833,3.2,3.75,1.85,3.25,3.75,1.85,3.25,3.75,1.72,3.2,4.33,2,1.71,2.15,1.66,1.75,2.1,-0.25,1.8,2.05,-0.25,1.775,2.125,-0.25,NA,NA,NA,NA,NA,NA,NA
"212","SP1","31/01/04","Betis","Celta",1,0,"H",1,0,"H",2,3.2,3.75,2.05,3.15,3.35,1.9,3.1,3.5,1.909,3.2,3.5,NA,NA,NA,2,3.1,3.4,2,3.1,3.3,1.75,1.95,1.95,1.85,2.05,1.8,-0.5,2.05,1.8,-0.5,2.025,1.875,-0.5,NA,NA,NA,NA,NA,NA,NA
"213","SP1","31/01/04","Malaga","Valencia",1,6,"A",0,2,"A",3.25,3.25,2,3.3,3.25,2.05,3.5,3.1,1.9,3.2,3.2,2,3.25,3.25,2,3.25,3.25,2,3.75,3.2,1.83,1.85,1.85,2,1.8,1.8,2.05,0.5,1.9,1.95,0.5,1.825,2.075,0.5,NA,NA,NA,NA,NA,NA,NA
"214","SP1","01/02/04","Barcelona","Albacete",5,0,"H",1,0,"H",1.444,3.6,7,1.4,4,7.5,1.4,3.7,6.5,1.444,3.6,6.5,1.4,3.75,7.5,1.4,3.75,7.5,1.4,3.75,7,1.71,2,1.85,1.95,1.8,2,-1,2.05,1.8,-1.25,1.85,2.05,-1,NA,NA,NA,NA,NA,NA,NA
"215","SP1","01/02/04","La Coruna","Sevilla",1,0,"H",1,0,"H",1.533,3.5,5.5,1.5,3.6,6.5,1.35,4,7,1.4,3.75,7,1.44,3.6,7,1.44,3.6,7,1.4,3.6,7.5,1.65,2.05,1.8,2,1.95,1.9,-1,1.95,1.9,-1,2.025,1.875,-1,NA,NA,NA,NA,NA,NA,NA
"216","SP1","01/02/04","Mallorca","Ath Bilbao",1,3,"A",1,1,"D",2.2,3.2,2.875,2.2,3.2,3,2.1,3,3.1,2.25,3.2,2.75,2.2,3.1,3,2.2,3.1,3,2.25,3.2,2.75,1.9,1.79,1.9,1.9,2,1.85,-0.25,1.95,1.9,-0.25,2.025,1.875,-0.25,NA,NA,NA,NA,NA,NA,NA
"217","SP1","01/02/04","Murcia","Zaragoza",1,0,"H",1,0,"H",2.3,3,2.875,2.35,3.15,2.8,2.3,2.9,2.8,2.25,3.2,2.75,2.3,3.1,2.8,2.3,3.1,2.8,2.25,3.1,2.8,1.85,1.85,2,1.8,1.95,1.9,-0.25,1.95,1.9,-0.25,1.95,1.95,-0.25,NA,NA,NA,NA,NA,NA,NA
"218","SP1","01/02/04","Sociedad","Santander",1,0,"H",0,0,"D",1.909,3.25,3.5,1.85,3.25,4,1.8,3.1,3.8,1.727,3.2,4.333,1.8,3.25,4,1.8,3.25,4,1.72,3.2,4.33,1.75,1.95,1.95,1.85,2,1.85,-0.75,1.95,1.9,-0.75,2.1,1.8,-0.75,NA,NA,NA,NA,NA,NA,NA
"219","SP1","01/02/04","Valladolid","Real Madrid",2,3,"A",2,0,"H",3.75,3.25,1.833,4.2,3.25,1.8,3.6,3.1,1.85,3.75,3.25,1.8,4.33,3.25,1.73,4.33,3.25,1.72,4,3.1,1.8,1.75,1.95,1.9,1.9,2.05,1.8,0.5,2.05,1.8,0.5,2,1.9,0.5,NA,NA,NA,NA,NA,NA,NA
"220","SP1","01/02/04","Villarreal","Espanol",0,1,"A",0,0,"D",1.571,3.4,5.5,1.58,3.45,5.7,1.45,3.6,5.8,1.444,3.6,6.5,1.57,3.4,5.5,1.57,3.4,5.5,1.5,3.4,6,1.75,1.95,1.85,1.95,1.95,1.9,-1,1.9,1.95,-1,1.975,1.925,-1,NA,NA,NA,NA,NA,NA,NA
"221","SP1","07/02/04","Real Madrid","Malaga",2,1,"H",1,0,"H",1.167,7,13,1.2,5.5,12,1.2,5,10,1.143,5.5,15,1.2,5.5,10,1.2,5.5,10,1.14,6,12,1.45,2.5,1.57,2.37,1.9,1.95,-1.75,1.9,1.95,-1.75,1.95,1.95,-1.75,NA,NA,NA,NA,NA,NA,NA
"222","SP1","07/02/04","Valencia","Ath Madrid",3,0,"H",1,0,"H",1.615,3.4,5,1.6,3.4,5.5,1.6,3.3,4.8,1.571,3.25,5.5,1.67,3.4,4.5,1.66,3.4,4.5,1.61,3.3,5,1.79,1.9,1.9,1.9,2.15,1.65,-1,1.8,2.05,-0.75,1.875,2.025,-0.75,NA,NA,NA,NA,NA,NA,NA
"223","SP1","08/02/04","Albacete","La Coruna",0,2,"A",0,0,"D",3.6,3.2,1.909,3.45,3.2,2,3.5,3.1,1.9,3.5,3.2,1.909,3.3,3.2,2,3.3,3.2,2,3.4,3,2,1.85,1.85,2,1.8,1.9,1.95,0.5,1.95,1.9,0.5,1.9,2,0.5,NA,NA,NA,NA,NA,NA,NA
"224","SP1","08/02/04","Ath Bilbao","Murcia",2,1,"H",2,1,"H",1.533,3.4,6,1.55,3.5,5.85,1.45,3.6,5.8,1.444,3.6,6.5,1.5,3.5,6,1.5,3.5,6,1.5,3.4,6,1.75,1.95,2,1.8,2.3,1.55,-1.25,2,1.85,-1,2.1,1.8,-1,NA,NA,NA,NA,NA,NA,NA
"225","SP1","08/02/04","Celta","Villarreal",2,1,"H",1,0,"H",2.2,3.25,2.8,2.25,3.1,3,2,3.1,3.2,2.2,3.2,2.8,2.3,3.1,2.8,2.3,3.1,2.8,2.25,3.1,2.8,1.79,1.9,2,1.8,1.65,2.15,0,1.9,1.95,-0.25,1.95,1.95,-0.25,NA,NA,NA,NA,NA,NA,NA
"226","SP1","08/02/04","Espanol","Valladolid",2,0,"H",0,0,"D",2.2,3.25,2.8,2.3,3.2,2.8,2.3,3,2.7,2.25,3.2,2.75,1.61,3.1,2.7,2.37,3.1,2.7,2.25,3.1,2.8,1.95,1.75,1.95,1.85,1.7,2.05,0,2,1.85,-0.25,2.025,1.875,-0.25,NA,NA,NA,NA,NA,NA,NA
"227","SP1","08/02/04","Osasuna","Barcelona",1,2,"A",0,1,"A",2.6,3.2,2.4,2.65,3.2,2.4,2.7,2.9,2.4,2.5,3.2,2.5,2.6,3,2.5,2.6,3,2.5,2.5,3.1,2.5,1.85,1.85,2,1.8,2.3,1.55,-0.25,2,1.85,0,2.025,1.875,0,NA,NA,NA,NA,NA,NA,NA
"228","SP1","08/02/04","Santander","Betis",1,2,"A",1,1,"D",2.25,3.25,2.75,2.35,3.1,2.85,2.3,2.8,2.9,2.1,3.2,3,2.25,3.2,2.8,2.25,3.2,2.8,2.2,3,3,1.79,1.85,2,1.8,2.05,1.7,-0.25,1.8,2.05,0,2.05,1.85,-0.25,NA,NA,NA,NA,NA,NA,NA
"229","SP1","08/02/04","Sevilla","Mallorca",3,0,"H",0,0,"D",2,3.25,3.25,2.1,3.1,3.35,1.9,3.1,3.5,2,3.2,3.2,2.1,3.2,3.1,2.1,3.2,3.1,2,3.1,3.3,1.85,1.85,2,1.8,1.5,2.45,0,1.8,2.05,-0.25,1.825,2.075,-0.25,NA,NA,NA,NA,NA,NA,NA
"230","SP1","08/02/04","Zaragoza","Sociedad",2,1,"H",1,1,"D",2.875,3.25,2.375,2.75,3.2,2.35,2.8,2.9,2.3,2.8,3.2,2.2,2.75,3.25,2.25,2.75,3.2,2.3,2.75,3.1,2.3,1.85,1.79,1.95,1.85,1.8,2.05,0.25,1.8,2.05,0.25,1.85,2.05,0.25,NA,NA,NA,NA,NA,NA,NA
"231","SP1","14/02/04","Murcia","Sevilla",1,3,"A",0,1,"A",2.375,3.2,2.625,2.37,3.2,2.75,2.4,2.8,2.8,2.375,3,2.75,2.38,3,2.75,2.37,3,2.75,2.37,3.1,2.62,2,1.71,2.1,1.7,2.05,1.7,-0.25,1.8,2.05,0,1.8,2.1,0,NA,NA,NA,NA,NA,NA,NA
