"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","B365H","B365D","B365A","GBH","GBD","GBA","IWH","IWD","IWA","SBH","SBD","SBA","WHH","WHD","WHA","GB.2.5","GB.2.5.1","GBAHH","GBAHA","GBAH","X","X.1","X.2","X.3","X.4","X.5"
"24","SP2","13/09/03","Tenerife","Recreativo",2,1,"H",2,1,"H",2.25,2.75,3.2,2.25,2.75,3.25,2.1,2.6,3.2,2.25,2.75,3.2,2.25,2.6,3.25,2.2,1.51,2.05,1.7,-0.25,NA,NA,NA,NA,NA,NA
"25","SP2","13/09/03","Vallecano","Poli Ejido",3,1,"H",1,0,"H",1.72,3.2,4.5,1.7,3.2,4.75,1.7,2.9,4,1.7,3.2,4.5,1.8,2.9,4.2,2,1.61,1.9,1.8,-0.75,NA,NA,NA,NA,NA,NA
"26","SP2","14/09/03","Almeria","Alaves",2,1,"H",1,0,"H",2.5,2.75,2.75,2.6,2.7,2.8,2.6,2.5,2.6,2.6,2.8,2.62,2.3,2.7,3,2,1.61,2.2,1.6,-0.25,NA,NA,NA,NA,NA,NA
"27","SP2","14/09/03","Cadiz","Terrassa",2,0,"H",1,0,"H",NA,NA,NA,2,2.8,3.95,1.85,2.7,3.6,2,2.9,3.6,2,2.65,3.85,1.95,1.66,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","SP2","14/09/03","Ciudad de Murcia","Salamanca",1,1,"D",1,1,"D",2.37,2.75,3,2.15,2.85,3.4,NA,NA,NA,2.37,2.7,3,2.25,2.7,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","SP2","14/09/03","Eibar","Cordoba",0,0,"D",0,0,"D",2.2,2.75,3.25,2.35,2.75,3.1,2.1,2.6,3.2,2.2,2.75,3.25,2.25,2.55,3.3,2.2,1.51,1.9,1.8,-0.25,NA,NA,NA,NA,NA,NA
"30","SP2","14/09/03","Leganes","Levante",0,0,"D",0,0,"D",2.37,2.75,3,2.4,2.85,2.9,2.4,2.5,2.8,2.3,2.8,3,2.2,2.55,3.45,2.1,1.56,2.1,1.65,-0.25,NA,NA,NA,NA,NA,NA
"31","SP2","14/09/03","Numancia","Las Palmas",2,0,"H",1,0,"H",2.37,2.75,3,2.4,2.75,3,2.4,2.5,2.8,2.37,2.8,2.9,2.25,2.7,3.1,2.2,1.51,2.1,1.65,-0.25,NA,NA,NA,NA,NA,NA
"32","SP2","14/09/03","Sp Gijon","Algeciras",3,2,"H",1,1,"D",1.8,3,4.33,1.8,3,4.5,1.85,2.7,3.6,1.85,3,4,2,2.7,3.75,2.1,1.56,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","","","","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","SP2","17/09/03","Elche","Las Palmas",1,2,"A",0,0,"D",2.5,2.62,2.87,2.2,2.8,3.25,2.3,2.6,2.8,2.4,2.7,3,2.25,2.65,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
