"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","GBH","GBD","GBA","IWH","IWD","IWA"
"1","SP2","02/09/00","Albacete","Tenerife",1,0,"H",1,0,"H",NA,NA,NA,2.2,2.8,2.8
"2","SP2","02/09/00","Getafe","Cordoba",0,0,"D",0,0,"D",NA,NA,NA,2.3,2.8,2.6
"3","SP2","02/09/00","Lleida","Eibar",0,0,"D",0,0,"D",NA,NA,NA,1.7,2.8,4.2
"4","SP2","03/09/00","Compostela","Betis",0,0,"D",0,0,"D",NA,NA,NA,2.6,2.8,2.3
"5","SP2","03/09/00","Elche","Salamanca",2,0,"H",1,0,"H",NA,NA,NA,2.6,2.8,2.3
"6","SP2","03/09/00","Jaen","Ferrol",1,0,"H",0,0,"D",NA,NA,NA,1.85,2.8,3.5
"7","SP2","03/09/00","Leganes","Extremadura",1,1,"D",1,0,"H",NA,NA,NA,2.2,2.8,2.8
"8","SP2","03/09/00","Levante","Ath Madrid",4,1,"H",0,1,"A",NA,NA,NA,2.8,2.8,2.2
"9","SP2","03/09/00","Recreativo","Badajoz",0,0,"D",0,0,"D",NA,NA,NA,2.2,2.7,2.9
"10","SP2","03/09/00","Sevilla","Murcia",2,1,"H",0,0,"D",NA,NA,NA,1.4,3.4,5.6
"11","SP2","03/09/00","Sp Gijon","U.Las Palmas",0,0,"D",0,0,"D",NA,NA,NA,1.6,3,4.5
"12","SP2","09/09/00","Ath Madrid","Recreativo",0,1,"A",0,1,"A",NA,NA,NA,1.5,3.3,4.8
"13","SP2","09/09/00","U.Las Palmas","Getafe",0,1,"A",0,0,"D",NA,NA,NA,2.1,2.7,3.1
"14","SP2","10/09/00","Badajoz","Jaen",0,1,"A",0,0,"D",NA,NA,NA,1.8,2.7,3.8
"15","SP2","10/09/00","Betis","Elche",1,2,"A",0,2,"A",NA,NA,NA,1.45,3.3,5.2
"16","SP2","10/09/00","Cordoba","Levante",1,1,"D",1,1,"D",NA,NA,NA,2.1,2.7,3.1
"17","SP2","10/09/00","Eibar","Leganes",0,1,"A",0,0,"D",NA,NA,NA,1.9,2.6,3.5
"18","SP2","10/09/00","Extremadura","Albacete",1,1,"D",1,0,"H",NA,NA,NA,1.75,2.8,3.9
"19","SP2","10/09/00","Murcia","Lleida",0,0,"D",0,0,"D",NA,NA,NA,2.3,2.6,2.8
"20","SP2","10/09/00","Ferrol","Compostela",1,3,"A",0,1,"A",NA,NA,NA,2.3,2.9,2.5
"21","SP2","10/09/00","Salamanca","Sevilla",0,1,"A",0,1,"A",NA,NA,NA,2.2,2.7,2.9
"22","SP2","10/09/00","Tenerife","Sp Gijon",1,0,"H",0,0,"D",NA,NA,NA,1.9,2.6,3.5
"23","SP2","16/09/00","Albacete","Eibar",1,3,"A",0,2,"A",NA,NA,NA,1.7,2.9,4
"24","SP2","16/09/00","Elche","Sevilla",1,2,"A",0,1,"A",NA,NA,NA,2.5,2.9,2.3
"25","SP2","17/09/00","Betis","Ferrol",2,1,"H",2,0,"H",NA,NA,NA,1.4,3.6,5.5
"26","SP2","17/09/00","Compostela","Badajoz",0,1,"A",0,0,"D",NA,NA,NA,1.9,2.8,3.3
