"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","GBH","GBD","GBA","IWH","IWD","IWA","SYH","SYD","SYA","WHH","WHD","WHA"
"1","SP2","25/08/01","Ath Madrid","Jaen",2,0,"H",0,0,"D",NA,NA,NA,1.3,4,7,1.44,3.5,7,1.4,3.6,7
"2","SP2","25/08/01","Poli Ejido","Burgos",0,1,"A",0,0,"D",NA,NA,NA,2,2.9,3,NA,NA,NA,2.1,3.3,2.8
"3","SP2","25/08/01","Elche","Ferrol",0,0,"D",0,0,"D",NA,NA,NA,2.1,2.8,3,2.2,3,3,2.2,2.75,3.15
"4","SP2","25/08/01","Gimnastic","Santander",0,0,"D",0,0,"D",NA,NA,NA,2.7,2.9,2.2,NA,NA,NA,NA,NA,NA
"5","SP2","26/08/01","Albacete","Levante",3,0,"H",0,0,"D",NA,NA,NA,1.65,2.8,4.4,1.8,3.1,4,2,2.8,3.6
"6","SP2","26/08/01","Badajoz","Recreativo",1,0,"H",0,0,"D",NA,NA,NA,2.3,2.6,2.8,2.2,2.88,3.1,2.5,2.7,2.75
"7","SP2","26/08/01","Cordoba","Leganes",1,1,"D",0,1,"A",NA,NA,NA,1.75,2.9,3.8,1.8,3.1,4,1.9,3,3.6
"8","SP2","26/08/01","Murcia","Eibar",0,0,"D",0,0,"D",NA,NA,NA,1.8,2.8,3.7,1.91,3,3.75,2,2.85,3.5
"9","SP2","26/08/01","Numancia","Salamanca",2,2,"D",2,0,"H",NA,NA,NA,1.7,2.9,4,1.73,3.2,4.33,1.7,3.1,4.5
"10","SP2","26/08/01","Oviedo","Extremadura",1,1,"D",0,0,"D",NA,NA,NA,1.65,2.9,4.2,1.67,3.25,4.5,1.65,3.2,4.6
"11","SP2","26/08/01","Xerez","Sp Gijon",1,0,"H",0,0,"D",NA,NA,NA,2.6,2.8,2.3,NA,NA,NA,2.55,2.85,2.55
"12","SP2","01/09/01","Eibar","Ath Madrid",0,3,"A",0,2,"A",NA,NA,NA,3,2.8,2.1,3.25,2.9,2.1,NA,NA,NA
"13","SP2","01/09/01","Ferrol","Murcia",2,0,"H",1,0,"H",NA,NA,NA,2.1,2.8,3,2,3,3.4,2.1,2.75,3.4
"14","SP2","02/09/01","Burgos","Gimnastic",1,0,"H",1,0,"H",NA,NA,NA,1.8,2.9,3.6,1.91,3.1,3.6,1.8,2.9,4.2
"15","SP2","02/09/01","Extremadura","Xerez",0,1,"A",0,1,"A",NA,NA,NA,1.6,3,4.4,1.62,3.25,5,1.75,2.95,4.5
"16","SP2","02/09/01","Jaen","Poli Ejido",3,1,"H",1,0,"H",NA,NA,NA,1.6,3,4.4,NA,NA,NA,1.7,3.1,4.4
"17","SP2","02/09/01","Leganes","Elche",0,0,"D",0,0,"D",NA,NA,NA,1.9,2.8,3.3,1.91,3,3.75,2.1,2.75,3.4
"18","SP2","02/09/01","Levante","Cordoba",3,1,"H",2,1,"H",NA,NA,NA,1.9,2.8,3.3,1.91,3,3.75,2,2.85,3.5
"19","SP2","02/09/01","Santander","Oviedo",1,1,"D",1,0,"H",NA,NA,NA,1.85,2.9,3.4,1.91,3.1,3.6,1.9,2.9,3.75
"20","SP2","02/09/01","Recreativo","Numancia",1,0,"H",0,0,"D",NA,NA,NA,2.3,2.7,2.7,2.25,2.8,3.1,2.35,2.7,2.95
"21","SP2","02/09/01","Salamanca","Albacete",2,0,"H",2,0,"H",NA,NA,NA,2,2.8,3.1,2,2.9,3.5,2,2.85,3.5
"22","SP2","02/09/01","Sp Gijon","Badajoz",3,0,"H",0,0,"D",NA,NA,NA,1.75,2.9,3.8,1.73,3.2,4.33,1.8,2.9,4.2
"23","SP2","08/09/01","Albacete","Recreativo",0,0,"D",0,0,"D",NA,NA,NA,1.8,2.9,3.7,1.91,3.2,3.5,1.9,2.9,3.75
"24","SP2","08/09/01","Ath Madrid","Ferrol",1,1,"D",0,1,"A",NA,NA,NA,1.4,3.4,5.8,1.4,3.75,7,1.35,3.75,7.5
"25","SP2","08/09/01","Elche","Levante",2,2,"D",1,1,"D",NA,NA,NA,2.2,2.8,2.8,2.25,3,2.88,2.25,2.8,3
"26","SP2","08/09/01","Gimnastic","Jaen",0,2,"A",0,0,"D",NA,NA,NA,2.1,2.8,3,NA,NA,NA,2.4,2.8,2.75
"27","SP2","08/09/01","Xerez","Badajoz",2,0,"H",0,0,"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","SP2","09/09/01","Cordoba","Salamanca",4,2,"H",0,0,"D",NA,NA,NA,2.3,2.8,2.6,2.25,2.88,3,2.2,2.9,2.95
"29","SP2","09/09/01","Poli Ejido","Eibar",0,0,"D",0,0,"D",NA,NA,NA,2.3,2.8,2.6,2.2,3,3,2.25,3,2.8
"30","SP2","09/09/01","Extremadura","Santander",2,0,"H",1,0,"H",NA,NA,NA,2.3,2.9,2.5,2.38,2.9,2.75,2.35,2.85,2.75
"31","SP2","09/09/01","Murcia","Leganes",0,0,"D",0,0,"D",NA,NA,NA,2,2.7,3.3,1.91,3,3.75,2,2.8,3.6
"32","SP2","09/09/01","Numancia","Sp Gijon",3,1,"H",1,0,"H",NA,NA,NA,1.8,2.9,3.7,1.83,3,4,1.8,3,4
"33","SP2","09/09/01","Oviedo","Burgos",2,0,"H",1,0,"H",NA,NA,NA,1.65,2.9,4.2,1.53,3.5,5.5,1.6,3.3,4.75
"34","SP2","15/09/01","Ferrol","Poli Ejido",2,1,"H",0,1,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","SP2","15/09/01","Recreativo","Cordoba",2,1,"H",0,0,"D",NA,NA,NA,1.8,2.8,3.8,1.8,3.1,4,1.8,2.9,4.2
"36","SP2","15/09/01","Salamanca","Elche",1,0,"H",0,0,"D",NA,NA,NA,1.75,2.8,4,1.67,3.25,4.5,1.75,3,4.3
"37","SP2","16/09/01","Badajoz","Numancia",0,0,"D",0,0,"D",NA,NA,NA,2.3,2.7,2.7,2.38,2.88,2.8,2.5,2.8,2.6
"38","SP2","16/09/01","Burgos","Extremadura",1,0,"H",0,0,"D",NA,NA,NA,2.2,2.8,2.8,2.1,3,3.2,2.1,2.85,3.2
"39","SP2","16/09/01","Eibar","Gimnastic",3,1,"H",2,1,"H",NA,NA,NA,1.8,2.8,3.8,1.8,3.1,4,NA,NA,NA
"40","SP2","16/09/01","Jaen","Oviedo",1,3,"A",1,1,"D",NA,NA,NA,2.3,2.8,2.6,2.38,2.88,2.8,2.4,2.8,2.75
"41","SP2","16/09/01","Leganes","Ath Madrid",0,3,"A",0,2,"A",NA,NA,NA,3,2.8,2.1,3.3,2.9,2.1,3.2,2.85,2.1
"42","SP2","16/09/01","Levante","Murcia",0,0,"D",0,0,"D",NA,NA,NA,1.8,2.8,3.8,1.73,3.2,4.33,1.85,2.85,4
"43","SP2","16/09/01","Santander","Xerez",1,0,"H",1,0,"H",NA,NA,NA,1.8,2.9,3.6,1.83,3,4,1.8,2.9,4.2
"44","SP2","16/09/01","Sp Gijon","Albacete",0,0,"D",0,0,"D",NA,NA,NA,2.1,2.8,3,1.91,3.1,3.6,2.1,2.7,3.4
"45","SP2","22/09/01","Ath Madrid","Levante",2,1,"H",1,1,"D",NA,NA,NA,1.45,3.2,5.5,NA,NA,NA,1.45,3.35,6.5
"46","SP2","22/09/01","Extremadura","Jaen",5,0,"H",2,0,"H",NA,NA,NA,2,2.8,3.1,NA,NA,NA,2,2.85,3.45
"47","SP2","23/09/01","Albacete","Badajoz",2,0,"H",1,0,"H",NA,NA,NA,1.8,2.7,3.9,NA,NA,NA,1.75,3,4.2
"48","SP2","23/09/01","Cordoba","Sp Gijon",1,2,"A",1,2,"A",NA,NA,NA,2.2,2.7,2.9,NA,NA,NA,2.15,2.85,3.05
"49","SP2","23/09/01","Poli Ejido","Leganes",1,1,"D",0,0,"D",NA,NA,NA,2.3,2.7,2.7,NA,NA,NA,2.25,2.75,3
"50","SP2","23/09/01","Elche","Recreativo",1,1,"D",1,0,"H",NA,NA,NA,2.5,2.7,2.5,NA,NA,NA,2.5,2.85,2.55
"51","SP2","23/09/01","Murcia","Salamanca",3,3,"D",2,2,"D",NA,NA,NA,2.5,2.7,2.5,NA,NA,NA,2.45,2.75,2.7
"52","SP2","23/09/01","Oviedo","Eibar",1,0,"H",0,0,"D",NA,NA,NA,1.55,3,5,NA,NA,NA,1.55,3.15,5.5
"53","SP2","23/09/01","Santander","Burgos",0,2,"A",0,0,"D",NA,NA,NA,1.75,3.1,3.6,NA,NA,NA,1.75,3.05,4.1
"54","SP2","23/09/01","Xerez","Numancia",2,1,"H",0,1,"A",NA,NA,NA,2.2,2.8,2.8,NA,NA,NA,2.2,2.8,3
"55","SP2","29/09/01","Badajoz","Cordoba",0,1,"A",0,1,"A",NA,NA,NA,2.1,2.7,3.1,2,2.88,3.6,2.2,2.7,3.2
"56","SP2","29/09/01","Eibar","Extremadura",0,0,"D",0,0,"D",NA,NA,NA,2.2,2.8,2.8,2.25,3,2.88,2.2,2.9,3
"57","SP2","29/09/01","Jaen","Santander",0,0,"D",0,0,"D",NA,NA,NA,2.3,2.8,2.6,2.38,2.88,2.8,2.25,2.85,2.9
"58","SP2","29/09/01","Leganes","Gimnastic",2,1,"H",2,0,"H",NA,NA,NA,NA,NA,NA,1.83,3,4,1.75,3,4.3
"59","SP2","29/09/01","Numancia","Albacete",1,0,"H",1,0,"H",NA,NA,NA,1.9,2.9,3.2,1.8,3.1,4,1.8,3,4
