"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","GBH","GBD","GBA","IWH","IWD","IWA","LBH","LBD","LBA","SBH","SBD","SBA","SYH","SYD","SYA","WHH","WHD","WHA"
"1","SP1","25/08/01","Valencia","Real Madrid",1,0,"H",1,0,"H",NA,NA,NA,2.4,2.9,2.4,NA,NA,NA,NA,NA,NA,2.6,3,2.5,2.75,3.1,2.3
"2","SP1","26/08/01","La Coruna","Valladolid",4,0,"H",1,0,"H",NA,NA,NA,1.35,3.8,6.2,1.25,4.5,10,NA,NA,NA,1.33,4.33,7,1.3,4.2,8.5
"3","SP1","26/08/01","Espanol","Zaragoza",2,1,"H",1,1,"D",NA,NA,NA,1.85,2.9,3.4,1.73,3.4,4,NA,NA,NA,1.91,3.2,3.5,1.83,3.4,3.5
"4","SP1","26/08/01","Malaga","Betis",3,2,"H",1,1,"D",NA,NA,NA,1.7,3.1,3.8,1.8,3.2,4,NA,NA,NA,1.83,3.2,3.75,1.8,3.4,3.6
"5","SP1","26/08/01","Mallorca","Las Palmas",0,3,"A",0,1,"A",NA,NA,NA,1.45,3.5,5,1.5,3.4,6,NA,NA,NA,1.44,3.6,6.5,1.44,3.5,7
"6","SP1","26/08/01","Osasuna","Celta",0,3,"A",0,1,"A",NA,NA,NA,2.4,2.9,2.4,2.6,3.2,2.37,NA,NA,NA,2.6,3.2,2.38,NA,NA,NA
"7","SP1","26/08/01","Sociedad","Ath Bilbao",1,3,"A",1,1,"D",NA,NA,NA,2.1,2.9,2.9,2.1,3.2,3,NA,NA,NA,2.2,3,3,2.2,3.2,2.8
"8","SP1","26/08/01","Vallecano","Villarreal",1,2,"A",1,2,"A",NA,NA,NA,2.1,2.9,2.9,2.2,3.25,2.75,NA,NA,NA,2.2,3.2,2.8,2.25,3.2,2.75
"9","SP1","26/08/01","Sevilla","Barcelona",1,2,"A",0,1,"A",NA,NA,NA,3.2,2.9,1.9,3.4,3.25,1.91,NA,NA,NA,3.75,3.25,1.8,3.75,3.2,1.83
"10","SP1","26/08/01","Tenerife","Alaves",0,2,"A",0,1,"A",NA,NA,NA,2.1,2.9,2.9,2.4,3.25,2.5,NA,NA,NA,2.38,3.2,2.6,2.25,3.2,2.75
"11","SP1","08/09/01","Ath Bilbao","Mallorca",0,1,"A",0,0,"D",NA,NA,NA,1.9,2.9,3.2,2.1,3.2,3,2.1,3.1,3.1,2.1,3.2,3,2,3.2,3.2
"12","SP1","08/09/01","Las Palmas","La Coruna",0,1,"A",0,0,"D",NA,NA,NA,2.4,2.9,2.4,3,3,2.2,2.9,3,2.25,2.88,3,2.25,2.8,3,2.3
"13","SP1","08/09/01","Real Madrid","Malaga",1,1,"D",1,0,"H",NA,NA,NA,1.25,4.3,8,1.3,4,9,1.3,4.33,8,1.33,4.33,7,1.25,4.5,10
"14","SP1","08/09/01","Villarreal","Osasuna",3,0,"H",1,0,"H",NA,NA,NA,1.55,3.3,4.5,1.5,3.4,6,1.5,3.4,6,1.5,3.4,6,NA,NA,NA
"15","SP1","09/09/01","Alaves","Sociedad",2,0,"H",1,0,"H",NA,NA,NA,1.8,3,3.5,1.73,3.2,4.33,1.7,3.25,4.33,1.8,3,4.33,1.8,3.3,3.75
"16","SP1","09/09/01","Barcelona","Vallecano",1,1,"D",0,0,"D",NA,NA,NA,1.2,4.7,9,1.25,4.5,10,1.3,4.33,8,1.29,4.5,8,1.28,4.5,8
"17","SP1","09/09/01","Betis","Espanol",2,0,"H",2,0,"H",NA,NA,NA,2,2.9,3,2.37,3.2,2.6,2.2,3,3,2.38,3.2,2.62,2.2,3,3
"18","SP1","09/09/01","Celta","Tenerife",3,0,"H",2,0,"H",NA,NA,NA,1.4,3.6,5.5,1.36,3.75,8,1.36,3.8,7.5,1.4,3.75,7,1.36,3.75,8
"19","SP1","09/09/01","Valladolid","Valencia",1,1,"D",1,0,"H",NA,NA,NA,2.4,2.9,2.4,2.8,3.2,2.2,3,3,2.2,2.8,3.2,2.2,2.8,3.1,2.25
"20","SP1","09/09/01","Zaragoza","Sevilla",1,1,"D",0,0,"D",NA,NA,NA,1.75,3.1,3.6,1.73,3.2,4.33,1.7,3.25,4.33,1.67,3.25,4.5,1.61,3.3,5
"21","SP1","15/09/01","Betis","Real Madrid",3,1,"H",1,1,"D",NA,NA,NA,3,2.9,2,4,3.2,1.8,3.5,3.2,1.91,3.75,3.2,1.83,3.4,3.25,1.9
